request_kbps,declared_bps,index,bytes,duration_s,ttfb_ms,body_ms
8000,7515000,31,150024,2.0,221.0,6.5
8000,7515000,32,137616,2.004,321.3,8.5
8000,7515000,33,197588,2.0,215.7,4.9
8000,7515000,34,201348,2.0,208.7,5.4
8000,7515000,35,194768,2.0,213.0,5.4
8000,7515000,36,226916,2.004,322.0,5.9
8000,7515000,37,335392,2.0,214.2,6.0
8000,7515000,38,372616,2.0,213.0,5.5
8000,7515000,39,354380,2.0,214.3,5.0
10000,9448000,0,219020,2.048,428.8,5.9
10000,9448000,1,207928,2.0,109.5,6.9
10000,9448000,2,845060,2.014666,209.1,6.0
10000,9448000,3,1756296,2.0,215.7,6.4
10000,9448000,4,1378228,2.004,216.4,6.5
10000,9448000,5,591260,2.009333,111.5,3.5
10000,9448000,6,648600,2.0,210.7,4.8
10000,9448000,7,867432,2.02,222.0,5.5
10000,9448000,8,1444780,2.0,212.2,6.1
10000,9448000,9,975532,2.0,110.7,3.3
10000,9448000,10,771176,2.0,211.3,6.0
10000,9448000,11,1937528,2.0,209.4,6.4
10000,9448000,12,1289492,2.0,104.7,3.3
10000,9448000,13,217892,2.009333,103.6,2.1
10000,9448000,14,175780,2.0,210.4,5.9
10000,9448000,15,177472,2.0,208.7,5.5
10000,9448000,16,313960,2.004,215.9,8.0
10000,9448000,17,501772,2.0,214.6,4.1
10000,9448000,18,887548,2.0,111.5,3.2
10000,9448000,19,478084,2.02,208.0,5.0
10000,9448000,20,1266744,2.004,208.9,5.4
10000,9448000,21,1633720,2.0,206.3,5.6
10000,9448000,22,1606648,2.0,107.4,3.6
10000,9448000,23,1055056,2.0,108.9,3.3
10000,9448000,24,477896,2.004,111.5,2.9
10000,9448000,25,209620,2.0,216.6,6.7
10000,9448000,26,159236,2.0,219.0,5.4
10000,9448000,27,204732,2.0,205.8,5.4
10000,9448000,28,161868,2.004,318.1,5.7
10000,9448000,29,165440,2.0,215.9,4.7
10000,9448000,30,164124,2.0,213.8,5.2
10000,9448000,31,164500,2.0,318.3,4.5
10000,9448000,32,151716,2.004,214.4,6.3
10000,9448000,33,213756,2.009333,219.8,5.3
10000,9448000,34,217328,2.0,209.0,5.2
10000,9448000,35,210748,2.0,215.3,4.8
10000,9448000,36,243460,2.004,326.4,5.7
10000,9448000,37,352688,2.0,215.2,4.9
